date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:10:03	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-abb1de80602cc85f;gz%22	https://www.alexaglobalfinance.com/robots.txt		(from )
07:10:03	53183/53183	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Feb%202026%2006:09:08%20GMT	https://www.alexaglobalfinance.com/	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/index.html	(from )
07:10:05	562942/562942	---M-Z	200	added ('OK')	text/css	etag:%22896fe-67f2a15b-6ebe8e8693282a93;gz%22	https://www.alexaglobalfinance.com/etc/clientlib-default.min.001bf72e86ac4a5150822ce748c8d0ae.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/etc/clientlib-default.min.001bf72e86ac4a5150822ce748c8d0ae.css	(from https://www.alexaglobalfinance.com/)
07:10:06	483640/483640	---M-Z	200	added ('OK')	text/css	etag:%2276138-67f2a15b-43bec4362fad687b;gz%22	https://www.alexaglobalfinance.com/site.min.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/site.min.css	(from https://www.alexaglobalfinance.com/)
07:10:07	26242/26242	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Feb%202026%2006:09:12%20GMT	https://www.alexaglobalfinance.com/images/F0D7474F-1F49-4101-8929-61D532625137-removebg-preview.png	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/images/F0D7474F-1F49-4101-8929-61D532625137-removebg-preview.png	(from https://www.alexaglobalfinance.com/)
07:10:08	140427/140427	---M-Z	200	added ('OK')	text/css	etag:%222248b-67f2a15b-20050bc6ca4a2394;gz%22	https://www.alexaglobalfinance.com/css/bootstrap.min.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/css/bootstrap.min.css	(from https://www.alexaglobalfinance.com/)
07:10:09	31025/31025	---M-Z	200	added ('OK')	text/css	etag:%227931-67f2a15b-61830dd2e03aca38;gz%22	https://www.alexaglobalfinance.com/css/font-awesome.min.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/css/font-awesome.min.css	(from https://www.alexaglobalfinance.com/)
07:10:10	25427/25427	---M-Z	200	added ('OK')	text/css	etag:%226353-67f2a15b-7dd0fe0e9e078a71;gz%22	https://www.alexaglobalfinance.com/css/animate.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/css/animate.css	(from https://www.alexaglobalfinance.com/)
07:10:11	2598/2598	---M-Z	200	added ('OK')	text/css	etag:%22a26-67f2a15b-284a8acdc048b753;gz%22	https://www.alexaglobalfinance.com/css/bootstrap-4-navbar.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/css/bootstrap-4-navbar.css	(from https://www.alexaglobalfinance.com/)
07:10:12	795/795	---M-Z	200	added ('OK')	text/css	etag:%2231b-67f2a15b-546fe8469d9e54d9;gz%22	https://www.alexaglobalfinance.com/css/filterizer.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/css/filterizer.css	(from https://www.alexaglobalfinance.com/)
07:10:13	5278/5278	---M-Z	200	added ('OK')	text/css	etag:%22149e-67f2a15b-edd682863e9f0541;gz%22	https://www.alexaglobalfinance.com/inc/lightbox/css/jquery.fancybox.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/inc/lightbox/css/jquery.fancybox.css	(from https://www.alexaglobalfinance.com/)
07:10:13	2941/2941	---M-Z	200	added ('OK')	text/css	etag:%22b7d-67f2a15b-e60aea245e9d974e;gz%22	https://www.alexaglobalfinance.com/css/owl.carousel.min.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/css/owl.carousel.min.css	(from https://www.alexaglobalfinance.com/)
07:10:14	941/941	---M-Z	200	added ('OK')	text/css	etag:%223ad-67f2a15b-2fa0937c588da941;gz%22	https://www.alexaglobalfinance.com/css/owl.theme.default.min.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/css/owl.theme.default.min.css	(from https://www.alexaglobalfinance.com/)
07:10:15	9055/9055	---M-Z	200	added ('OK')	text/css	etag:%22235f-67f2a15b-ed04d15bfa3d4d5;gz%22	https://www.alexaglobalfinance.com/css/fakeLoader.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/css/fakeLoader.css	(from https://www.alexaglobalfinance.com/)
07:10:16	23811/23811	---M-Z	200	added ('OK')	text/css	etag:%225d03-67f2a15b-6b3328a0768e025f;gz%22	https://www.alexaglobalfinance.com/css/sweetalert.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/css/sweetalert.css	(from https://www.alexaglobalfinance.com/)
07:10:17	84044/84044	---M-Z	200	added ('OK')	text/css	etag:%221484c-67f2a15b-6294f32ee099beeb;gz%22	https://www.alexaglobalfinance.com/style.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/style.css	(from https://www.alexaglobalfinance.com/)
07:10:18	10842/10842	---M-Z	200	added ('OK')	text/css	etag:%222a5a-67f2a15b-4949573a1578f1c1;gz%22	https://www.alexaglobalfinance.com/color/default.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/color/default.css	(from https://www.alexaglobalfinance.com/)
07:10:19	10768/10768	---M-Z	200	added ('OK')	text/css	etag:%222a10-67f2a15b-f22bb62a7b8cfd83;gz%22	https://www.alexaglobalfinance.com/color/color-switcher.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/color/color-switcher.css	(from https://www.alexaglobalfinance.com/)
07:10:19	15829/15829	---M-Z	200	added ('OK')	text/css	etag:%223dd5-67f2a15b-ae00ebb98eaa3ae0;gz%22	https://www.alexaglobalfinance.com/css/responsive.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/css/responsive.css	(from https://www.alexaglobalfinance.com/)
07:10:20	89/89	---M--	200	added ('OK')	text/css	etag:%2259-67f2a15b-3875b088537ea107;;;%22	https://www.alexaglobalfinance.com/css/customcss.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/css/customcss.css	(from https://www.alexaglobalfinance.com/)
07:10:21	6988/6988	---M-Z	200	added ('OK')	text/css	etag:%221b4c-67f2a15b-445d4006a1f23ea3;gz%22	https://www.alexaglobalfinance.com/css/toastr.css	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/css/toastr.css	(from https://www.alexaglobalfinance.com/)
07:10:22	48484/48484	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bd64-67f2a15b-4d974b6986cd1a89;gz%22	https://www.alexaglobalfinance.com/cdn.weglot.com/weglot.min.js	C:/Users/USER/Desktop/bankclone/www.alexaglobalfinance.com/cdn.weglot.com/weglot.min.js	(from https://www.alexaglobalfinance.com/)
07:10:24	26031/26031	---M--	200	added ('OK')	image/png	etag:%2239513-65af-56ce71dc3d9b2%22	http://gtranslate.net/flags/16.png	C:/Users/USER/Desktop/bankclone/gtranslate.net/flags/16.png	(from https://www.alexaglobalfinance.com/)
